citation,year,model_type,mutations,multiple_stimuli,electrophysiology_features,protocol_optimization,heldout_evaluation,ai_transformations,software_availability,distinction_from_neurosem,closeness_1to5,kind,doi,url,verification_method,found_via,evidence_file
"Bartocci, E., Mariani, L., Ničković, D., et al. (2022). FIM: fault injection and mutation for Simulink. Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE), 1716-1720.",2022,Simulink models (avionics and automotive cyber-physical controllers),"yes - 10 signal faults (e.g., stuck-at, bias, noise, delay) and 5 block mutations; multi-model mode injects one fault per copy.",unclear - faults have configurable onset/duration; input stimulus sets not documented in README or abstract.,no - Simulink signals; no electrophysiology features.,"no - README and abstract describe injection and activation, not test selection.",no - one avionics case study per abstract.,no - not addressed.,"FIM (fimtool), MIT License, https://gitlab.com/DrishtiYadav/fimtool (requires MATLAB/Simulink)","Tool analogue of a mutation engine with single-fault copies; NeuroSem adds neuron-model operators, eFEL feature oracles with refinement-calibrated tolerances, greedy protocol selection and held-out evaluation.",2,software,10.1145/3540250.3558932,https://doi.org/10.1145/3540250.3558932,"Crossref api.crossref.org/works/10.1145/3540250.3558932 (authors, pp 1716-1720, ACM, 2022-11-07); abstract from OpenAlex and Semantic Scholar; GitLab API project DrishtiYadav/fimtool (MIT) plus Readme.md, FaultInjector_Master/Readme.txt, Configuration/Readme.txt; ACM PDF 403, BOA no full text.",WebSearch site:dl.acm.org mutation analysis Simulink models signal features fault detection test selection greedy; verified via Crossref,deepread_r1_b25.json
"Beck J, Deistler M, Bernaerts Y, et al. (2022). Efficient identification of informative features in simulation-based inference. arXiv preprint arXiv:2210.11915.",2022,Single-compartment Hodgkin-Huxley model (Pospischil-type with M and L currents) plus a linear Gaussian toy model; simulation-based Bayesian inference,no - parameters sampled from a prior to train a likelihood estimator; no seeded faults or edited model variants.,unclear - the HH simulations appear to use a single stimulus; no multi-protocol battery described in the text read.,"yes - 10 electrophysiology summary features (e.g. spike count, latency, AP amplitude/width, AHP, adaptation, resting potential) extracted with the Allen SDK.","partial - greedy selection of informative features, compared with random feature orderings; selects features, not stimulation protocols, for inference rather than fault detection.",no - posterior accuracy checked against brute-force re-estimation and analytic ground truth; no held-out models or fault families.,no - no AI-generated or AI-edited models or code (neural density estimators are used as a method).,"fslm_repo https://github.com/berenslab/fslm_repo (URL stated in the arXiv PDF; built on the sbi library; repository not inspected, GitHub API rate-limited)","Beck ranks features by posterior-uncertainty reduction for parameter inference, with greedy versus random comparison. NeuroSem would greedily select stimulation protocols by mutant coverage, with calibrated tolerances and held-out models.",2,preprint,unverified (no DOI in arXiv abs page metadata; arXiv DOI 10.48550/arXiv.2210.11915 resolved via OpenAlex),https://arxiv.org/abs/2210.11915,"arXiv abs page HTML (citation meta tags: title, 5 authors, 2022-10-21; abstract); arXiv PDF v2 text via pypdf (methods, HH model, features, greedy selection, code URL); OpenAlex (arXiv record only, no published version found). Semantic Scholar API returned 429; arXiv export API returned empty.",completeness critic r2,deepread_r2_b8.json
"Birchler, C., Ganz, N., Khatiri, S., et al. (2022). Cost-effective Simulation-based Test Selection in Self-driving Cars Software. arXiv preprint arXiv:2211.11409.",2022,self-driving car software tested with generated road scenarios in the BeamNG.tech simulator (cyber-physical system),no - faults are lane departures of the driving agent under generated scenarios and risk-factor settings; no seeded single-fault mutants,"yes - thousands of generated simulation tests (abstract reports 22,652 across two datasets)",no - road-geometry input features extracted before execution; no physiological features,yes - ML classifiers predict unsafe tests so only likely-failing ones run; cost-effectiveness is unsafe tests per simulation time versus random selection,partial - 10-fold cross-validation or a separate testing dataset for classifiers; no held-out system or fault family,no - machine learning used for test selection; no AI-generated code edits,SDC-Scissor - https://github.com/christianbirchler-org/sdc-scissor (GPL-3.0 per GitHub API),"Analogue for budget-aware simulation test selection with a random baseline normalised by runtime. NeuroSem selects one fixed protocol battery by greedy coverage over a mutant-by-protocol detection matrix, compares count- and runtime-matched random sets, and tests generalisation to unseen neuron models and a held-out mutation family, rather than per-test ML outcome prediction for one system.",2,preprint,10.48550/arxiv.2211.11409,https://doi.org/10.48550/arxiv.2211.11409,"DataCite DOI API (title, 5 creators, 2022, abstract); arXiv abs page (authors, v1 2022-11-21, cs.SE, CC BY-NC-ND 4.0); arXiv HTML full text (sections 2-4; its header names Science of Computer Programming, published version not verified); GitHub REST API via gh and README",DataCite (arXiv DOIs) test selection + simulation title query,deepread_r1_b42.json
"De Schepper, R., Abi Akar, N., Hater, T., et al. (2022). Cross-comparison of state of the art neuromorphological simulators on modern CPUs and GPUs using the Brain Scaffold Builder. bioRxiv (preprint).",2022,Morphologically detailed multicompartment cerebellar neuron and network models built with BSB and run in NEURON and Arbor,no - compares simulators and hardware configurations; no deliberate single-fault model alterations.,unclear - network benchmarks (small and large cerebellar networks) described; single-cell current-injection protocols not identifiable from the accessible text.,partial - cross-simulator output check reportedly uses population firing rates and raster plots; main metrics are time-to-solution and energy.,no - no stimulus or test selection; benchmarking design only.,"no - performance benchmark, no discovery/held-out split.",no - no AI-assisted edits or translations.,arb-nrn-comp https://github.com/Helveg/arb-nrn-comp (GPL-3.0 per LICENSE file); Brain Scaffold Builder https://github.com/dbbs-lab/bsb (GPL-3.0 per GitHub API),Treats simulator translation as a performance question with coarse output agreement; NeuroSem would test behaviour preservation of single-cell NeuroML models under recorded mutants and valid transformations with calibrated feature tolerances and a selected protocol battery.,2,preprint,10.1101/2022.03.02.482285,https://doi.org/10.1101/2022.03.02.482285,"Crossref works API; bioRxiv details API (v1 2022-03-04, CC BY-NC-ND, no published version listed); Semantic Scholar API; Europe PMC abstract (PPR464890); bioRxiv full text via WebFetch summary (curl blocked, error 1015); GitHub API + raw README/LICENSE",Semantic Scholar API forward citations of LEMS 2014; Crossref-verified,deepread_r1_b36.json
"Dey S, Dimitrov A (2022). Mapping and Validating a Point Neuron Model on Intel's Neuromorphic Hardware Loihi. Frontiers in Neuroinformatics, 16, 883360.",2022,"Leaky integrate-and-fire point neurons (GLIF parameters from the Allen Cell Types Database), BMTK reference simulation vs Loihi neuromorphic implementation",no - validates one port to new hardware across 20 parameter sets; no seeded faults.,partial - models are driven by a constant bias current and by frozen Poisson external spike inputs; there is no designed protocol battery.,"partial - agreement is measured on membrane-potential traces (RMSE, Pearson correlation); no electrophysiology feature set such as eFEL is reported.",no - no stimulus or test selection is described.,no - all parameter sets are used for validation; there is no held-out design.,no - the mapping to Loihi is done by hand-derived numerical transformations.,"bmtk_loihi_utils: https://github.com/srijanie03/bmtk_loihi_utils (GitHub API: exists, last push 2022-04-21)","Checks that one translation (classical simulator to neuromorphic chip) preserves LIF traces. NeuroSem would generalise to many edit types on conductance-based NeuroML models, using multi-protocol electrophysiology fingerprints with mutation-calibrated tolerances, optimized batteries and held-out evaluation.",2,paper,10.3389/fninf.2022.883360,https://doi.org/10.3389/fninf.2022.883360,"Crossref works API (2 authors, Front Neuroinform 16, article 883360, issued 2022-05-30); Europe PMC REST (PMID 36726406, PMC9886005, abstract) and fullTextXML (stimuli, cost functions, repo); GitHub REST API for the data repo. The erratum DOI noted in found_via was not checked in this pass.",WebSearch site:dblp.org electrophysiological feature extraction neuron model validation (DBLP CoRR record https://dblp.org/rec/journals/corr/abs-2109-10835.html); journal version via Crossref (an erratum 10.3389/fninf.2022.1107838 also exists),deepread_r1_b4.json
"Lopes, P. H., Oliveira, B. C., Souza, A. A. de S., et al. (2022). Mitigating Computer Limitations in Replicating Numerical Simulations of a Neural Network Model With Hodgkin-Huxley-Type Neurons. Frontiers in Neuroinformatics, 16, 874234.",2022,"recurrent network of 100 Hodgkin-Huxley-type neurons, implemented in C/C++, XPP/XPPAUT, Python and Matlab (RK4)","partial: deliberately varied language, OS, floating-point precision and current-summation order across 72 runs; configuration variants, not single-fault mutants",no: one network scenario with fixed random applied currents; varied excitatory/inhibitory proportions rather than stimulation protocols,no: compared network mean activity and synaptic efficacy time series by absolute error exceeding 1e-4,no: no test or protocol selection,no: single model; no held-out models or fault families,no: manual refactoring and reimplementation only,"neural-numerical-replicability2, https://github.com/wblancof/neural-numerical-replicability2 (no license detected by GitHub API)","Shows translation and numerical configuration silently change outputs of an HH network. NeuroSem would treat such changes as valid transformations or numerical mutants, with refinement-calibrated feature tolerances, multi-protocol single-cell batteries, selection and held-out evaluation.",2,paper,10.3389/fninf.2022.874234,https://doi.org/10.3389/fninf.2022.874234,"Crossref works API (metadata, abstract); OpenAlex DOI record; Europe PMC full text PMC9135410 (methods: 72 scenarios, absolute-error comparison, GitHub link); GitHub REST API via gh for repository and license.",Europe PMC citations of ReScience,deepread_r1_b35.json
"Luu QH, Liu H, Chen TY, et al. (2022). Testing ocean software with metamorphic testing. Proceedings of the 7th International Workshop on Metamorphic Testing (MET '22), ACM, pp. 23-30.",2022,"tidal analysis and prediction scientific software (UTide, Python); geophysical time-series harmonic fitting, non-neuronal",yes - 38 non-equivalent mutants from five operator sets seeded into UTide's solver; equivalents filtered by random tests plus manual inspection.,yes - seven metamorphic relations applied over 100 randomly generated synthetic tide time series.,"no - compares fitted tidal amplitudes and phases within a fixed 0.01 round-off, not neuronal features.","partial - compares per-relation mutation scores and says choosing the most effective relations matters, but performs no selection or minimisation.","no - one subject program; relations and mutants evaluated together, no held-out programs or mutation families.",no - no AI-assisted edits or transformations studied.,none released identified; subject program UTide https://github.com/wesleybowman/UTide (URL as printed in the paper),"Methodologically the closest in this batch: seeded mutants plus several relations on scientific software, with relation effectiveness compared. NeuroSem would add neuron models, refinement-calibrated eFEL feature tolerances instead of a fixed round-off, greedy battery selection against cost-matched random sets, and held-out models and a held-out mutation family.",2,paper,10.1145/3524846.3527341,https://doi.org/10.1145/3524846.3527341,"Crossref https://api.crossref.org/works/10.1145/3524846.3527341 (title, 4 authors, MET proceedings, pp. 23-30, issued 2022-05-09); OpenAlex https://api.openalex.org/works/doi:10.1145/3524846.3527341 (abstract); Semantic Scholar graph API batch (arXiv 2206.05457, DBLP conf/icse-met/LuuLCV22); full text read from https://arxiv.org/pdf/2206.05457 (v1).",WebSearch site:dl.acm.org metamorphic testing bioinformatics simulation programs; verified via Crossref,deepread_r1_b24.json
"Nandi A, Chartrand T, Van Geit W, et al. (2022). Single-neuron models linking electrophysiology, morphology, and transcriptomics across cortical cell types. Cell Reports 40(6): 111176.",2022,"Morphologically detailed all-active conductance-based mouse visual cortex neuron models (BluePyOpt/NEURON-style optimisation), fitted to 230 Allen patch-clamp experiments","no - models are fitted to data; conductance perturbations (about 10%) are used for Sobol sensitivity analysis, not as seeded faults to detect.","yes - experimental step, ramp and coloured-noise protocols; models fitted on DC steps and checked on further DC steps and noise.",yes - fitted on electrophysiological E-features using BluePyOpt and eFEL; spike-time explained variance used for noise responses.,"no - fixed experimental stimulus battery; training objectives chosen by staged workflow design, not searched for detection power.","partial - models evaluated on stimuli withheld from optimisation (extra DC steps, coloured noise); a 70/30 split is used only for a classifier; no held-out fault families.",no - no AI-generated or AI-edited models or code.,All-active-Workflow https://github.com/AllenInstitute/All-active-Workflow (built on BluePyOpt; eFEL listed in resources),Nandi builds and validates data-fitted models against experiments. NeuroSem would compare an edited model with its own reference across a selected battery to detect single-fault changes; it could draw on such models if NeuroML versions and licences allow.,2,paper,10.1016/j.celrep.2022.111176,https://doi.org/10.1016/j.celrep.2022.111176,"Crossref works API (title, 15 authors, Cell Reports 40(6) 111176, Aug 2022); Europe PMC REST search (abstract, PMID 35947954, PMC9793758); Europe PMC fullTextXML (STAR Methods: protocols, validation stage, noise generalisation, key resources, GitHub URL); GitHub REST API for repo existence.",completeness critic r2,deepread_r2_b8.json
"Oesterle J, Kraemer N, Hennig P, et al. (2022). Probabilistic solvers enable a straight-forward exploration of numerical uncertainty in neuroscience models. Journal of Computational Neuroscience 50:485-503.",2022,"Single-compartment Hodgkin-Huxley, Izhikevich and STG neuron models, plus a three-neuron STG network (Python/Cython ODE implementations, not NeuroML).","no - Models are not edited or faulted; variation comes from solver sampling, not model transformations.","partial - Uses step, noisy step and pulse currents of varied amplitude and duration, but not as a designed protocol battery.","partial - Measures spike times, spike counts, SPIKE-distance and trace errors; no eFEL-style feature fingerprint.",no - No selection or minimisation of stimulation protocols.,no - Demonstrations on several models; no held-out model or mutation-family evaluation.,no - No AI-assisted edits.,"neuroprobnum, https://github.com/berenslab/neuroprobnum","Quantifies numerical uncertainty in spike outputs, relevant to NeuroSem's tolerance calibration. NeuroSem would instead use step refinement to set tolerances for detecting model edits, adding mutation, protocol selection and held-out testing.",2,paper,10.1007/s10827-022-00827-7,https://doi.org/10.1007/s10827-022-00827-7,"Crossref /works (metadata, abstract); Semantic Scholar API (PMC/PubMed IDs); PMC full text (methods); GitHub repository page.",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b0.json
"Panagiotou S, Sidiropoulos H, Soudris D, et al. (2022). EDEN: A High-Performance, General-Purpose, NeuroML-Based Neural Simulator. Frontiers in Neuroinformatics, 16, 724336.",2022,"NeuroML v2 simulator; correctness checked on NeuroML-DB single-cell models (conductance-based, incl. multicompartment) and three published networks",no; compares a new simulator against NEURON without seeded faults,no; single-cell checks use one fixed somatic DC current-clamp step for every model,"partial; ISI percent difference and a NeuroML-DB waveform similarity metric for cells; network rate, ISI and correlation statistics with effect sizes",no,"no; no discovery/held-out split, though the cell check spans a large NeuroML-DB model set",no,EDEN https://gitlab.com/neurocomputing-lab/Inferior_OliveEMC/eden (GitLab page shows GPL-3.0-or-later); PyPI eden-simulator 0.2.3 https://pypi.org/project/eden-simulator/,"A large-scale, canonical single-protocol cross-simulator check for NeuroML cells, close to NeuroSem's baseline. NeuroSem would add mutation-calibrated tolerances, multi-protocol fingerprints, greedy battery selection and held-out evaluation.",2,paper,10.3389/fninf.2022.724336,https://doi.org/10.3389/fninf.2022.724336,"Crossref works API (5 authors, vol 16, article 724336, 2022-05-20); Europe PMC MED 35669596 abstract; PMC9167055 full text for verification protocol and metrics; PyPI JSON API; GitLab project page for license","PubMed E-utilities 'NeuroML'; Europe PMC '""cross-simulator"" AND neuron' | WebSearch site:dblp.org NeuroML; OpenAlex search 'NeuroML 2 language' | Europe PMC: '(NEURON OR NEST OR Brian2 OR Arbor) AND simulator AND comparison AND neuron'; Europe PMC: 'reproducibility AND ""neuron models"" AND (simulator OR NeuroML)'; Europe PMC: 'NeuroML' (+3 more) [fallback source used because arXiv/OpenAlex were rate-limited] | Crossref bibliographic query (cross-simulator comparison neuron models NeuroML); verified via Crossref works API; eden-simulator seen in site:pypi.org WebSearch | OpenAlex search; Europe PMC citations of LEMS, OSB, NeuroML-DB",deepread_r1_b18.json
"Sáray S (2022). Systematic validation of detailed models of hippocampal neurons based on electrophysiological data. PhD thesis, Pázmány Péter Katolikus Egyetem.",2022,anatomically and biophysically detailed multicompartment NEURON (HOC) models of rat CA1 pyramidal cells and interneurons,no: compares published models and successive development versions; no deliberately seeded single faults.,"yes: HippoUnit tests mimic several protocols, including somatic current injection, back-propagating AP, PSP attenuation and dendritic integration.",yes: feature scores (mostly Z-scores vs experimental mean/SD) averaged into per-test final scores.,no: fixed expert-chosen test suite; no selection of a compact protocol set.,"no: checks models on paradigms they were not fitted to, but no discovery/held-out split for evaluating a test method.",no: none.,"HippoUnit https://github.com/KaliLab/hippounit (BSD-3-Clause per GitHub API); demo models https://github.com/KaliLab/HippoUnit_demo (named in booklet, not API-checked)","Explicitly motivated by avoiding regressions across model versions, but scores agreement with experimental data. NeuroSem compares transformed to reference model, uses controlled mutants, calibrated tolerances, selected batteries and held-out evaluation.",2,thesis,10.15774/PPKE.ITK.2022.001,http://real-phd.mtak.hu/1773/1/SS_thesis_booklet.pdf,"Downloaded booklet PDF and extracted text (pypdf); REAL-PhD record page http://real-phd.mtak.hu/1773/ eprints metadata; DataCite API dois/10.15774/PPKE.ITK.2022.001 (creator, year 2022, publisher); doi.org redirect to record; GitHub API repos/KaliLab/hippounit.","Google Scholar 'NeuroML simulation ""time step"" numerical reproducibility spike features'",deepread_r1_b10.json
"Troya, J., Segura, S., Burgueño, L., et al. (2022). Model Transformation Testing and Debugging: A Survey. ACM Computing Surveys 55(4), 1-39.",2022,survey of model-driven engineering model transformations (140 papers),unclear - abstract does not state mutation coverage; survey body not read (paywalled).,"no - concerns transformation input models, not stimuli to dynamical simulations.",no - not applicable.,unclear - test generation surveyed per abstract; test selection or minimization coverage not verified.,no - survey; no evaluation of its own.,no - not mentioned in abstract.,none (survey),Taxonomy background for testing transformations (relevant to NeuroML/LEMS translation). NeuroSem judges behavioural preservation through simulated electrophysiology across protocols rather than structural or oracle checks on transformed models.,2,paper,10.1145/3523056,https://dl.acm.org/doi/abs/10.1145/3523056,Crossref works API (metadata and abstract).,WebSearch site:dl.acm.org regression testing model transformations; verified via Crossref,deepread_r1_b26.json
NeuroML documentation contributors (2022). Testing/validating NeuroML Models. NeuroML Documentation (docs.neuroml.org).,2022 (last content commit 2022-12-15 per GitHub API; rendered page footer shows copyright 2026),NeuroML v2 models in general (documentation page),no - page covers cross-simulator OMV testing and SciUnit/NeuronUnit biological validation only; no mutation testing.,no - no stimulation protocols discussed on the page.,partial - mentions spike times as compared activity; points to NeuronUnit for data-driven feature validation without details.,no - not discussed.,no - not discussed.,no - not discussed.,Links OMV https://github.com/OpenSourceBrain/osb-model-validation and SciUnit/NeuronUnit https://scidash.org ; page source https://github.com/NeuroML/Documentation,"Official statement of the two recognised testing layers (cross-simulator consistency and biological validation); the SciUnit section is marked TODO. It does not address behaviour preservation after edits, which is NeuroSem's target question.",2,other,,https://docs.neuroml.org/Userdocs/TestingNeuroMLModels.html,"Page fetched directly (HTTP 200, title confirmed) and via WebFetch; markdown source raw.githubusercontent.com/NeuroML/Documentation/main/source/Userdocs/TestingNeuroMLModels.md read; commit dates via GitHub REST API commits?path=... (latest 2022-12-15, Padraig Gleeson).",WebSearch (Scholar fallback) 'NeuroML mutation testing neuron model',deepread_r1_b0.json
"Clark, A. G. (2023). Establishing the Causal Foundations of Metamorphic Testing: A Novel Application of Causal Inference for Testing Computational Modelling Software. PhD thesis, University of Sheffield (White Rose eTheses Online).",2023,General computational modelling software: epidemiological equation- and agent-based models (Covasim) plus the Luo-Rudy 1991 cardiac action-potential ODE model,partial - adds AddCause/DeleteCause mutation operators (CosmicRay fork) to synthetic programs; the LR91 cardiac model itself is not mutated.,"partial - LR91 inputs sampled by Latin hypercube over six conductances; these are parameter changes, not a battery of current-clamp protocols.","partial - LR91 case study uses one action-potential feature, APD90, as the tested output; no eFEL-style multi-feature vector.",no - metamorphic relations come from causal graphs; no selection of a compact test or stimulus set.,no - case studies and synthetic controlled experiments; no discovery/held-out split of models or fault families.,no - no AI-generated edits or translations evaluated.,"Causal Testing Framework, https://github.com/CITCOM-project/CausalTestingFramework (MIT per GitHub API); LR91 example code cited at https://github.com/AndrewC19/LR91","Tests expected cause-effect relations via causal inference; NeuroSem instead compares original vs edited neuron models across stimulus protocols, with refinement-calibrated tolerances, protocol selection and held-out evaluation.",2,thesis,,https://etheses.whiterose.ac.uk/id/eprint/34458/,"White Rose eTheses landing page (eprints/DC meta tags: title, creator, date 2023-09, institution, CC BY-NC-ND 4.0); full thesis PDF read (abstract, contents, Ch.5-6 LR91 case study); GitHub REST API for CausalTestingFramework repo.","Google Scholar '""metamorphic testing"" neuron simulation'; thesis landing page",deepread_r1_b14.json
"Clark, A. G., Foster, M., Walkinshaw, N., et al. (2023). Metamorphic Testing with Causal Graphs. 2023 IEEE Conference on Software Testing, Verification and Validation (ICST), pp. 153-164.",2023,"General software: randomly generated synthetic Python programs from causal graphs, plus two Defects4J Java bugs",yes - AddCause and DeleteCause operators inject causal-structure faults; mutation score measures detection.,partial - randomly generated test suites of varying size exercise metamorphic relations; not physiological stimulus protocols.,no - program outputs only; no neuroscience or electrophysiology content.,no - compares random test-suite sizes but does not optimise or greedily select tests.,no - controlled experiments over seeded random graphs and two case studies; no held-out split.,no - no AI-assisted transformations studied.,Experiment code cited in paper: https://github.com/AndrewC19/causal_metamorphic_relation_generation and https://github.com/AndrewC19/DAG-MT-case-studies (not checked via GitHub API),"Generic metamorphic-relation generation from causal graphs; NeuroSem is neuron-model-specific differential testing with electrophysiology features, calibrated tolerances, compact protocol selection and held-out generalisation.",2,paper,10.1109/icst57152.2023.00023,https://doi.org/10.1109/icst57152.2023.00023,"Crossref api.crossref.org/works (title, authors, venue, April 2023, pp. 153-164); OpenAlex and Semantic Scholar abstract; green OA author PDF (eprints.whiterose.ac.uk/195317) read for experimental setup.",Crossref title query from Clark thesis search; metadata verified via Crossref api.crossref.org/works,deepread_r1_b14.json
"Koch, N.A., Sonnenberg, L., Hedrich, U.B.S., et al. (2023). Loss or gain of function? Effects of ion channel mutations on neuronal firing depend on the neuron type. Frontiers in Neurology, 14, 1194811.",2023,"single-compartment conductance-based neuron models of diverse types (e.g. FS, RS pyramidal, RS inhibitory, Cb stellate, STN); Python, forward Euler",yes - one-factor-at-a-time changes to properties of shared currents (e.g. gating half-activation shifts of -10 to +10 mV) plus KCNA1 mutation parameter sets.,"partial - 200 two-second current steps forming fI curves plus an ascending/descending ramp; one protocol family, not a diverse battery.",partial - rheobase and area under the initial fI curve from steady-state firing; adaptation deliberately excluded; not eFEL.,no - fixed step and ramp protocols.,no - compares perturbation effects across models; no discovery/held-out split.,no - none.,"LOFGOF2023, https://github.com/nkoch1/LOFGOF2023 (MIT)","Studies how controlled biophysical perturbations change firing across neuron types to interpret channelopathies. NeuroSem instead treats such perturbations as mutants to measure whether regression batteries detect them, with calibrated tolerances, protocol selection and held-out models. Its neuron-type dependence supports multi-model evaluation.",2,paper,10.3389/fneur.2023.1194811,https://doi.org/10.3389/fneur.2023.1194811,"Crossref /works for journal DOI (vol 14, article 1194811, 2023-05-24, CC BY 4.0) and bioRxiv preprint 10.1101/2023.01.16.524256; Europe PMC core record (PMID 37292138, PMC10244640) and fullTextXML methods sections 2.2-2.3; GitHub REST API repo metadata (MIT) and README.","GitHub search neuron model mutation / channel mutation neuron firing (nkoch1/LOFGOF2023, MIT); verified via Crossref works API | WebSearch 'ion channel mutation effects on firing depend on neuron model type ...'; PubMed esummary; Crossref (also preprint 10.1101/2023.01.16.524256)",deepread_r1_b7.json
"Seema Jehan, Franz Wotawa (2023). An Empirical Study of Greedy Test Suite Minimization Techniques Using Mutation Coverage. IEEE Access, 11, 65427-65442.",2023,general software (JavaScript NPM packages with their accompanying test suites),yes - Mutode tool (48 operators) generates mutants of NPM packages; a mutation matrix records which tests kill which mutants.,"no - selection units are unit tests of JavaScript packages, not stimulation protocols applied to a dynamical model.",no - uses mutant kill outcomes and mutation score; no signal or feature extraction.,"yes - compares Greedy, DelayedGreedy, Harrold et al., LinMIN and DeltaMIN minimisation on mutation coverage; parameter alpha allows a small mutation-score loss.",no - reduction and fault-detection loss are judged on the same mutation score used for minimisation; no held-out programs or mutant families found.,no - no AI-assisted code changes studied.,"none verified (paper states artifacts are on GitHub, its reference [54]; URL not retrieved - unverified)","Confirms that greedy set-cover minimisation over mutant kills is established, so NeuroSem's selection step alone is not novel. NeuroSem would differ by applying it to stimulation protocols with feature-level tolerances, adding count- and runtime-matched random baselines, and evaluating on held-out models and a held-out mutation family.",2,paper,10.1109/access.2023.3289073,https://doi.org/10.1109/access.2023.3289073,"Crossref works API (vol 11, pp 65427-65442); OpenAlex and Semantic Scholar abstracts; full-text HTML retrieved from the IEEE Xplore REST endpoint (ieeexplore.ieee.org/rest/document/10160008) - the PDF link returned HTTP 418/HTML shell and the DOAJ page returned 403.",WebSearch site:ieeexplore.ieee.org test suite minimization greedy set cover; verified via Crossref | Crossref bibliographic query (test suite minimization greedy set cover mutation); verified via Crossref works API | WebSearch greedy test suite minimization query; Crossref title query,deepread_r1_b6.json
"Shuttleworth JG, Lei CL, Whittaker DG, et al. (2023). Empirical Quantification of Predictive Uncertainty Due to Model Discrepancy by Training with an Ensemble of Experimental Designs: An Application to Ion Channel Kinetics. Bulletin of Mathematical Biology, 86(1), 2.",2023,"Cardiac hERG/IKr Markov ion-channel ODE models (Beattie, Wang) under voltage clamp","partial - builds two synthetic model-discrepancy cases (data simulated with one model, fitted with another); structural discrepancy, not single-fault mutants.",yes - uses an ensemble of voltage-clamp protocols (step and ramp designs) for training and validation.,"no - compares current traces by RMSE, not spike or action-potential features.","no - protocols chosen for training coverage; ensemble spread estimates uncertainty, and no compact battery is selected.",partial - checks predictions on validation protocols not used for training; no held-out models or fault families.,no - no AI-driven transformations.,https://github.com/CardiacModelling/empirical_quantification_of_model_discrepancy (BSD-3-Clause per GitHub API); archive https://doi.org/10.5281/zenodo.8409925,"Shares the idea that agreement under one protocol does not carry to others, but uses it for fitting and uncertainty, not regression testing. NeuroSem targets current-clamp neuron models, single-fault mutants, feature tolerances and greedy battery selection.",2,paper,10.1007/s11538-023-01224-6,https://doi.org/10.1007/s11538-023-01224-6,"Crossref API (7 authors, Bull Math Biol 86(1) article 2; online 2023-11-24, print issue 2024-01; CC BY 4.0); Europe PMC abstract and full-text XML (PMID 37999811, PMC10673765); GitHub REST API for repo license.","Europe PMC '(""model discrimination"" OR ""model selection"") AND (""voltage protocol"" OR ""stimulus protocol"") AND design' | Europe PMC lens search (optimal experimental design / protocol design)",deepread_r1_b19.json
"Stratigopoulos, H.-G., Spyrou, T., Raptis, S. (2023). Testing and Reliability of Spiking Neural Networks: A Review of the State-of-the-Art. 2023 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT), pp. 1-8.",2023,neuromorphic spiking-neural-network hardware (mostly integrate-and-fire neurons in digital/analog accelerators),"partial: reviews behavioural fault injection (threshold, leak, refractory changes; dead or saturated neurons; weight faults, bit-flips) for hardware, not model-file edits.","partial: reviewed tests use input image sets, plus one analog-neuron self-test with ramps eliciting several firing patterns.","partial: one reviewed neuron test checks firing-pattern classes (regular, fast spiking, bursting, chattering); most work measures inference accuracy.","partial: reviews compact test-input generation for fault coverage (greedy fault dropping, adversarial examples, confidence-based image ordering).",no: review article; no held-out model or held-out fault-family evaluation of its own.,no: faults model hardware defects and parameter bit-flips; no AI-assisted code transformations.,none,"Addresses manufacturing and runtime faults in SNN accelerators, scored mainly by task accuracy. NeuroSem targets software edits to biophysical NeuroML/LEMS cell models, eFEL feature tolerances and held-out model evaluation; overlap is compact fault-covering test selection.",2,paper,10.1109/dft59622.2023.10313541,https://doi.org/10.1109/DFT59622.2023.10313541,"Crossref works API (proceedings-article, IEEE, pp. 1-8, issued 2023-10-03); OpenAlex and Semantic Scholar APIs (abstract, DBLP conf/dft/StratigopoulosSR23); author full text on HAL (hal-04176109v1) read.",WebSearch site:ieeexplore.ieee.org differential testing spiking neural network simulators NEST Brian NEURON consistency; verified via Crossref,deepread_r1_b29.json
